WahlkreisId;ParteiId;KandidatId;KandidatName;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;401;402;403;404;405;406;407;408
4;11;5;Kögler, Gerd;8;5;15.339;4.931;129;85;531;85;110;3.797;194;10.408
4;11;6;Rauh, Detlef;2;6;12.828;4.486;143;118;320;2.925;151;213;8.342;616
4;11;7;Rausch, Thomas;5;7;11.320;2.971;95;95;8.349;173;210;748;196;1.454
4;11;8;Pflaum, Dominik;3;8;10.647;3.723;1.039;407;647;357;6.924;355;410;508
4;13;1;Hüttner, Michaela;1;1;1.164;458;52;83;92;61;49;70;51;706
4;13;2;Raithel, Christine;3;2;905;298;34;35;607;20;20;43;37;109
4;13;3;Fischer, Iris;2;3;404;110;10;294;17;6;3;6;2;66
4;13;4;Gerdom, Anne;5;4;260;260;55;113;13;18;20;5;23;13
4;13;5;Göcking, Simone;4;5;222;222;3;2;11;3;1;9;3;190
4;13;6;Grüner, Ursula;7;6;198;198;3;19;132;5;6;8;6;19
4;13;7;Hersch, Cornelia;13;7;189;189;9;8;117;12;7;8;11;17
4;13;8;Zeus, Claudia;6;8;158;158;4;6;10;4;5;12;11;106
4;13;9;Bauer, Dietmar;9;9;143;143;5;9;20;8;6;13;6;76
4;13;10;Pfaffenberger, Arno;8;10;133;133;4;3;17;5;0;4;15;85
4;13;11;Kampe, Werner;16;11;119;119;1;13;10;7;3;7;5;73
4;13;12;Prodöhl, Ramona;15;12;103;103;8;10;51;6;3;7;3;15
4;13;13;Hoffmann, Jürgen;12;13;99;99;1;3;2;1;4;12;3;73
4;13;14;Kraus, Martina;11;14;96;96;23;47;4;3;5;3;6;5
4;13;15;Hüttner, Reinhard;14;15;61;61;0;4;5;2;1;2;0;47
4;13;16;Kracke, Lutz-Benno;10;16;33;33;4;5;5;3;0;3;1;12
4;15;1;Krumm, Julian;1;1;2.424;2.424;155;172;543;331;198;349;258;418
4;15;2;Kreten, Julian;3;2;1.367;357;25;53;1.010;52;125;38;25;39
4;15;3;Roensch, Andreas;2;3;1.241;456;114;785;41;95;47;51;66;42
4;15;4;Hartmann, Andreas;5;4;994;243;11;25;34;24;19;751;25;105
4;15;5;Walter, Thilo;4;5;592;592;88;225;53;69;42;32;49;34
4;15;6;Thielmann, Cornelia;11;6;424;424;36;99;43;42;37;68;46;53
4;15;7;Beck, Michael;6;7;393;393;8;18;197;25;8;39;30;68
4;15;8;Zippel, Julian;7;8;354;354;57;78;29;53;25;45;39;28
4;15;9;Frerking, Silas Rouven;9;9;306;306;36;78;27;42;37;34;31;21
4;15;10;Hautsch, Markus;8;10;238;238;20;19;41;25;19;43;17;54
4;15;11;Schern, Frank;10;11;173;173;6;7;13;8;7;101;9;22
4;16;1;Köhler, Werner;1;1;748;362;50;50;35;48;34;386;57;88
4;16;2;Schmalz, Boris;3;2;604;604;59;59;91;91;68;78;85;73
4;16;3;Jäckel, Britta;2;3;495;495;41;19;33;24;21;261;37;59
4;18;1;Frederking, Reinhard;3;1;761;263;23;43;498;36;44;33;31;53
4;18;2;Billner, Christian;1;2;512;512;63;69;108;33;72;45;62;60
4;18;3;Pförtsch, Christian;5;3;377;377;27;33;120;31;26;40;47;53
4;18;4;Schindelmann, Felix;2;4;272;272;20;16;101;20;13;28;29;45
4;18;5;O'Toole, Shelby;6;5;200;200;22;20;34;20;13;21;30;40
4;18;6;Frederking, Regina;4;6;196;196;12;11;98;13;19;16;11;16
4;18;7;Granegger, Bettina;7;7;143;143;18;10;43;11;15;14;13;19
